127.0.0.1, 2013-04-18 21:30:52, GET, /project/default/dev/65, HTTP/1.1, 200, 0.067074
127.0.0.1, 2013-04-18 21:30:54, GET, /project/default/downm/2/65, HTTP/1.1, 200, 0.051296
127.0.0.1, 2013-04-18 21:30:54, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000923
127.0.0.1, 2013-04-18 21:31:44, GET, /project/default/dev/65, HTTP/1.1, 200, 0.063067
127.0.0.1, 2013-04-18 21:31:45, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.053655
127.0.0.1, 2013-04-18 21:31:45, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2013-04-18 21:32:23, GET, /project/default/dev/65, HTTP/1.1, 200, 0.075375
127.0.0.1, 2013-04-18 21:32:25, GET, /project/default/down/file_add.new_file.badcfd0a936d0661.612e747874.txt, HTTP/1.1, 200, 0.042310
127.0.0.1, 2013-04-18 21:35:55, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.210397
127.0.0.1, 2013-04-18 21:35:55, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000288
127.0.0.1, 2013-04-18 21:36:18, GET, /project/appadmin/index, HTTP/1.1, 200, 0.054083
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000189
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000687
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.000846
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001111
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.001247
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001545
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.001970
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000777
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002123
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001478
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.004012
127.0.0.1, 2013-04-18 21:36:18, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000975
127.0.0.1, 2013-04-18 21:36:19, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000534
127.0.0.1, 2013-04-18 21:36:19, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.001338
127.0.0.1, 2013-04-18 21:36:19, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-04-18 21:36:19, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000936
127.0.0.1, 2013-04-18 21:36:20, GET, /project/appadmin/select/db, HTTP/1.1, 200, 0.045536
127.0.0.1, 2013-04-18 21:36:20, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000257
127.0.0.1, 2013-04-18 21:38:54, GET, /project/default/dev/65, HTTP/1.1, 200, 0.048809
127.0.0.1, 2013-04-18 21:38:56, GET, /project/default/dev/65, HTTP/1.1, 200, 0.047459
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.001394
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000548
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000208
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001947
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001422
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000623
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000435
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.002204
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001530
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000294
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.002272
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000480
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000221
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.001812
127.0.0.1, 2013-04-18 21:38:56, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000889
127.0.0.1, 2013-04-18 21:38:58, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.049473
127.0.0.1, 2013-04-18 21:38:58, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000285
127.0.0.1, 2013-04-18 21:39:02, GET, /project/appadmin/select/db, HTTP/1.1, 200, 0.059507
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.004225
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.003413
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.003078
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.003175
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.001945
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000765
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000779
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001590
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.000895
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001272
127.0.0.1, 2013-04-18 21:39:02, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000316
127.0.0.1, 2013-04-18 21:39:03, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000979
127.0.0.1, 2013-04-18 21:39:03, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000436
127.0.0.1, 2013-04-18 21:39:03, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000666
127.0.0.1, 2013-04-18 21:39:07, GET, /project/default/downm/1/65, HTTP/1.1, 200, 0.050590
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002373
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000702
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.001835
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000685
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.003480
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003056
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001243
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.006168
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003400
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.001271
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002149
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.002644
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000254
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000512
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000206
127.0.0.1, 2013-04-18 21:39:07, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000213
127.0.0.1, 2013-04-18 21:39:11, GET, /project/appadmin/select/db, HTTP/1.1, 200, 0.066500
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000539
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.000252
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.000248
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.001690
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.000887
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000156
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.000333
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000782
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000461
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000828
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001344
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/js/share.js, HTTP/1.1, 304, 0.001371
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/images/Blue3.jpg, HTTP/1.1, 304, 0.000259
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/images/twitter.png, HTTP/1.1, 304, 0.000871
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/images/gplus-32.png, HTTP/1.1, 304, 0.000387
127.0.0.1, 2013-04-18 21:39:11, GET, /project/static/images/facebook.png, HTTP/1.1, 304, 0.000765
127.0.0.1, 2013-04-18 21:48:49, GET, /project/default/dev/65, HTTP/1.1, 200, 0.047396
127.0.0.1, 2013-04-18 21:48:51, GET, /project/default/downm/1/65, HTTP/1.1, 404, 0.048325
127.0.0.1, 2013-04-18 21:48:53, GET, /project/default/dev/65, HTTP/1.1, 200, 0.051706
127.0.0.1, 2013-04-18 21:49:06, GET, /project/default/downm/0/65, HTTP/1.1, 404, 0.040748
127.0.0.1, 2013-04-18 21:49:07, GET, /project/default/dev/65, HTTP/1.1, 200, 0.046252
127.0.0.1, 2013-04-18 21:56:31, GET, /project/default/dev/65, HTTP/1.1, 200, 0.054324
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/calendar.js, HTTP/1.1, 304, 0.001492
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/web2py.js, HTTP/1.1, 304, 0.001203
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/css/calendar.css, HTTP/1.1, 304, 0.000583
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/jquery.js, HTTP/1.1, 304, 0.001416
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002259
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000805
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000820
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000204
127.0.0.1, 2013-04-18 21:56:31, GET, /project/static/css/web2py.css, HTTP/1.1, 304, 0.000616
